,gen,nevals,avg,min,max
326,326,367,0.7110400000000001,0.514,0.716
327,327,359,0.7080400000000001,0.604,0.716
328,328,354,0.7056800000000001,0.5,0.716
329,329,361,0.7037200000000001,0.5,0.716
330,330,357,0.7024800000000002,0.5,0.716
331,331,369,0.71284,0.618,0.716
332,332,360,0.7078399999999999,0.548,0.716
333,333,358,0.7089600000000001,0.562,0.716
334,334,359,0.71292,0.57,0.716
335,335,364,0.7059200000000001,0.554,0.716
336,336,351,0.7023199999999999,0.524,0.716
337,337,363,0.7098400000000001,0.56,0.716
338,338,355,0.7112800000000001,0.622,0.716
339,339,368,0.711,0.544,0.716
340,340,358,0.7033600000000001,0.416,0.716
341,341,352,0.7072000000000002,0.512,0.716
342,342,365,0.7134800000000001,0.596,0.716
343,343,366,0.6926000000000001,0.386,0.716
344,344,360,0.68632,0.5,0.716
345,345,371,0.70732,0.5,0.716
346,346,355,0.71052,0.52,0.716
347,347,355,0.7052,0.524,0.716
348,348,357,0.7066400000000002,0.5,0.716
349,349,354,0.7158800000000001,0.71,0.716
350,350,356,0.7104400000000001,0.568,0.716
351,351,362,0.70376,0.5,0.716
352,352,356,0.711,0.532,0.716
353,353,347,0.7112,0.602,0.716
354,354,370,0.7024000000000001,0.562,0.716
355,355,362,0.70096,0.5,0.716
356,356,372,0.71096,0.554,0.716
357,357,368,0.71316,0.632,0.716
358,358,362,0.7066400000000002,0.562,0.716
359,359,352,0.7134800000000001,0.604,0.716
360,360,358,0.7117600000000002,0.604,0.716
361,361,348,0.70608,0.512,0.716
362,362,366,0.71256,0.616,0.716
363,363,353,0.71072,0.524,0.716
364,364,363,0.7134400000000001,0.606,0.716
365,365,362,0.7095600000000001,0.612,0.716
366,366,367,0.7091600000000001,0.586,0.716
367,367,366,0.7138400000000001,0.64,0.716
368,368,358,0.7047599999999999,0.5,0.716
369,369,362,0.7055600000000001,0.5,0.716
370,370,352,0.7116,0.554,0.716
371,371,354,0.69864,0.5,0.716
372,372,364,0.70584,0.57,0.716
373,373,352,0.6865600000000001,0.5,0.716
374,374,362,0.6948400000000002,0.5,0.716
375,375,359,0.70744,0.512,0.716
376,376,358,0.70012,0.5,0.716
377,377,361,0.7091200000000001,0.5,0.716
378,378,362,0.7018400000000001,0.5,0.716
379,379,364,0.7153200000000001,0.682,0.716
380,380,367,0.7092,0.54,0.716
381,381,366,0.7035600000000001,0.552,0.716
382,382,369,0.7104,0.64,0.716
383,383,362,0.7058000000000001,0.536,0.716
384,384,366,0.7006800000000001,0.5,0.716
385,385,367,0.7090400000000001,0.5,0.716
386,386,359,0.70352,0.5,0.716
387,387,353,0.7118000000000001,0.634,0.716
388,388,356,0.7111200000000001,0.542,0.716
389,389,346,0.7083600000000001,0.54,0.716
390,390,359,0.7093200000000001,0.566,0.716
391,391,350,0.7159200000000001,0.712,0.716
392,392,353,0.7138400000000001,0.648,0.716
393,393,360,0.7159200000000001,0.712,0.716
394,394,360,0.6919200000000001,0.5,0.716
395,395,348,0.7023200000000002,0.5,0.716
396,396,356,0.7026400000000002,0.5,0.716
397,397,353,0.7141200000000001,0.668,0.716
398,398,367,0.7140800000000002,0.62,0.716
399,399,345,0.7085600000000001,0.502,0.716
400,400,364,0.7087600000000001,0.5,0.716
401,401,359,0.70856,0.572,0.716
402,402,369,0.70184,0.5,0.716
403,403,365,0.7020400000000001,0.5,0.716
404,404,366,0.7032800000000001,0.5,0.716
405,405,360,0.7109200000000001,0.602,0.716
406,406,367,0.7053200000000001,0.5,0.716
407,407,357,0.7083200000000001,0.566,0.716
408,408,362,0.71524,0.678,0.716
409,409,373,0.71364,0.65,0.716
410,410,356,0.70736,0.5,0.716
411,411,346,0.7154400000000001,0.696,0.716
412,412,370,0.7066400000000002,0.532,0.716
413,413,367,0.7040800000000002,0.54,0.716
414,414,347,0.7040000000000001,0.53,0.716
415,415,358,0.70032,0.524,0.716
416,416,371,0.7047200000000001,0.538,0.716
417,417,366,0.7148400000000001,0.688,0.716
418,418,355,0.7080400000000001,0.5,0.716
419,419,366,0.71048,0.526,0.716
420,420,363,0.7019200000000001,0.504,0.716
421,421,353,0.70816,0.574,0.716
422,422,373,0.7103200000000001,0.5,0.716
423,423,358,0.70976,0.532,0.716
424,424,356,0.6991200000000002,0.494,0.716
425,425,360,0.70132,0.512,0.716
426,426,362,0.70608,0.606,0.716
427,427,365,0.7080000000000001,0.652,0.716
428,428,366,0.71264,0.656,0.716
429,429,360,0.7045600000000001,0.496,0.716
430,430,365,0.71232,0.532,0.716
431,431,357,0.7056800000000001,0.498,0.716
432,432,363,0.6994800000000001,0.5,0.716
433,433,348,0.6943600000000001,0.5,0.716
434,434,365,0.7039200000000001,0.5,0.716
435,435,358,0.70108,0.5,0.716
436,436,358,0.6884,0.5,0.716
437,437,354,0.6979600000000002,0.47,0.716
438,438,364,0.7056,0.52,0.716
439,439,365,0.7041200000000001,0.5,0.716
440,440,351,0.7085200000000001,0.562,0.716
441,441,364,0.7090000000000001,0.538,0.716
442,442,355,0.71016,0.544,0.716
443,443,365,0.7077200000000002,0.544,0.716
444,444,371,0.7049600000000001,0.538,0.716
445,445,358,0.7109200000000001,0.614,0.716
446,446,359,0.7066800000000001,0.5,0.716
447,447,361,0.70096,0.534,0.716
448,448,358,0.70352,0.528,0.716
449,449,356,0.7113600000000001,0.562,0.716
450,450,358,0.7119600000000001,0.592,0.716
451,451,363,0.7021600000000001,0.5,0.716
452,452,351,0.7120799999999999,0.618,0.716
453,453,361,0.7095199999999999,0.5,0.716
454,454,368,0.7094800000000001,0.5,0.716
455,455,351,0.70532,0.504,0.716
456,456,364,0.705,0.512,0.716
457,457,367,0.70068,0.51,0.716
458,458,366,0.6935600000000001,0.5,0.716
459,459,364,0.69808,0.5,0.716
460,460,367,0.7081200000000001,0.5,0.716
461,461,366,0.7054,0.52,0.716
462,462,358,0.7160000000000001,0.716,0.716
463,463,354,0.7102800000000002,0.55,0.716
464,464,363,0.7089200000000001,0.584,0.716
465,465,359,0.71268,0.618,0.716
466,466,359,0.71252,0.632,0.716
467,467,354,0.7115200000000002,0.586,0.716
468,468,353,0.71116,0.612,0.716
469,469,363,0.7109200000000001,0.52,0.716
